Light Source:,LAV2-SW,,,,
Filter:,"Tricolor 457 +/- 22 nm, 530 +/- 20 nm, 628 +/- 28 nm",,,,
Camera:,"IDS USB 3.0 Camera, Model UI-3060CPC",,,,
Wavelength (nm),Relative Light Intensity (fraction),Light Filter (fraction),Relative Camera Sensitivity for Red (fraction),Relative Camera Sensitivity for Green (fraction),Relative Camera Sensitivity for Blue (fraction)
410.7,0.000597839,0,0.058874534,0.040924388,0.436858877
410.8,0.000606872,0,0.058709328,0.040833296,0.437410867
410.9,0.000615867,0,0.058544018,0.040742428,0.437959003
411,0.000624833,0,0.058378602,0.04065176,0.438504834
411.1,0.000633779,0,0.058213082,0.04056127,0.439049906
411.2,0.000642712,0,0.058047457,0.040470934,0.439595769
411.3,0.000651641,0,0.057881727,0.04038073,0.44014397
411.4,0.000660575,0,0.057715894,0.040290634,0.440696058
411.5,0.000669522,0,0.057549957,0.040200623,0.441253579
411.6,0.000678491,0,0.057383915,0.040110675,0.441818082
411.7,0.000687491,0,0.05721777,0.040020767,0.442391116
411.8,0.000696529,0,0.057051519,0.039930875,0.442974227
411.9,0.000705614,0,0.056884944,0.039840977,0.443568964
412,0.000714755,0,0.056717931,0.039751049,0.444177336
412.1,0.00072396,0,0.056550516,0.03966101,0.444801633
412.2,0.000733237,0,0.056382739,0.039570652,0.445440103
412.3,0.000742596,0,0.056214637,0.039480005,0.446090572
412.4,0.000752045,0,0.056046249,0.039389118,0.446750869
412.5,0.000761591,0,0.055877611,0.039298044,0.447418819
412.6,0.000771245,0,0.055708763,0.039206832,0.448092249
412.7,0.000780871,0,0.055539743,0.039115534,0.448768986
412.8,0.000790159,0,0.055370587,0.039024199,0.449446857
412.9,0.000799132,0,0.055201335,0.038932879,0.450123689
413,0.00080783,0,0.055032025,0.038841624,0.450797307
413.1,0.000816293,0,0.054862693,0.038750485,0.45146554
413.2,0.000824558,0,0.054693379,0.038659512,0.452126214
413.3,0.000832667,0,0.05452412,0.038568756,0.452777155
413.4,0.000840658,0,0.054354955,0.038478268,0.453416191
413.5,0.00084857,0,0.054185921,0.038388099,0.454041148
413.6,0.000856443,0,0.054017056,0.038298298,0.454649853
413.7,0.000864316,0,0.053848399,0.038208918,0.455244358
413.8,0.000872228,0,0.053679987,0.038120008,0.455828617
413.9,0.000880219,0,0.053511859,0.038031619,0.456403612
414,0.000888329,0,0.053344052,0.037943801,0.456970322
414.1,0.000896595,0,0.053176604,0.037856606,0.457529726
414.2,0.000905058,0,0.053009554,0.037770085,0.458082804
